# Accelerometer Data File
# Started @Tue Apr 26 12:52:50 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.287 3.754 8.024 1
-0.287 3.754 8.024 10
0.44 4.252 8.37 0
0.44 4.252 8.37 10
-0.651 2.892 7.7 10
0.038 3.237 8.332 10
0.268 3.198 9.443 0
0.268 3.198 9.443 10
0.134 2.777 9.232 10
0.21 2.777 9.596 10
-0.057 2.777 9.96 10
0.038 2.681 8.906 0
0.038 2.681 8.906 10
0.747 3.256 9.289 0
0.747 3.256 9.289 10
0.44 3.16 9.098 10
-0.21 2.834 9.059 9
0.095 2.988 9.308 1
0.095 2.988 9.308 10
0.191 2.739 9.04 0
0.191 2.739 9.04 10
0.287 2.681 9.021 0
0.287 2.681 9.021 10
0.344 2.566 8.983 10
0.651 2.26 8.753 0
0.651 2.26 8.753 10
0.402 2.183 8.925 10
0.325 2.221 9.021 10
0.229 2.03 8.83 0
0.229 2.03 8.83 10
0.363 2.241 9.194 10
0.21 2.145 9.462 0
0.21 2.145 9.462 10
0.325 2.298 9.366 0
0.325 2.298 9.366 10
0.363 2.451 9.098 0
0.363 2.451 9.098 10
0.689 2.815 9.098 10
0.651 2.317 9.021 0
0.651 2.317 9.021 10
0.402 2.221 8.676 10
0.229 2.01 8.906 0
0.229 2.01 8.906 10
0.344 1.972 8.638 0
0.344 1.972 8.638 10
0.114 1.321 9.136 0
0.114 1.321 9.136 10
0.114 1.589 9.462 10
0.402 1.781 9.998 0
0.402 1.781 9.998 10
0.325 2.183 9.002 10
0.459 1.972 9.308 9
0.67 2.317 8.715 1
0.67 2.317 8.715 10
0.421 2.049 8.37 10
0.383 2.49 8.217 0
0.383 2.49 8.217 10
0.076 2.068 8.178 9
0.057 2.087 8.389 1
0.057 2.087 8.389 10
0.153 1.992 9.328 0
0.153 1.992 9.328 10
-0.153 1.283 8.81 10
0.076 1.436 9.96 0
0.076 1.436 9.96 10
-0.114 0.919 9.443 9
-0.344 0.785 10.458 1
-0.344 0.785 10.458 10
0.191 1.436 9.174 0
0.191 1.436 9.174 10
-0.191 1.015 9.634 10
