#Comments starts with #
#Created by Program
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)
# units set to: m/sec^2

#labels start with "$" a or m [blank] type
#a = automatic, m manualexample "a undefined"
-25.072 -1.57 16.319 10
-17.851 -6.435 6.684 0
-17.851 -6.435 6.684 10
-13.657 -10.132 -4.175 10
-11.052 -12.335 -7.048 0
-11.052 -12.335 -7.048 10
-7.316 -11.128 -8.906 10
-6.742 -10.343 -11.243 10
-7.508 -6.32 -8.485 0
-7.508 -6.32 -8.485 10
-4.175 -2.375 -3.313 0
-4.175 -2.375 -3.313 10
-5.037 0.268 2.739 10
-6.34 2.03 4.348 0
-6.34 2.03 4.348 10
-7.393 0.498 -0.383 0
-7.393 0.498 -0.383 10
-6.052 -1.915 -4.041 0
-6.052 -1.915 -4.041 10
-5.439 -2.164 -3.926 0
-5.439 -2.164 -3.926 10
-9.328 -2.202 -0.249 0
-9.328 -2.202 -0.249 10
-7.048 0.172 0.287 10
-4.099 -0.421 0.689 10
-4.002 -1.283 1.11 0
-4.002 -1.283 1.11 10
0.076 -0.9 1.494 0
0.076 -0.9 1.494 10
4.941 0.114 3.371 0
4.941 0.114 3.371 10
10.285 0.134 4.884 0
10.285 0.134 4.884 10
15.227 -0.172 2.624 0
15.227 -0.172 2.624 10
16.798 -3.332 -2.049 1
16.798 -3.332 -2.049 10
4.252 -11.301 -8.198 9
-1.972 -15.84 -14.902 0
-1.972 -15.84 -14.902 10
-13.522 -23.023 -22.851 0
-13.522 -23.023 -22.851 10
-20.035 -23.406 -24.268 1
-20.035 -23.406 -24.268 10
-30.685 -22.238 -17.89 9
-33.941 -10.458 3.926 10
-30.819 1.168 33.079 0
-30.819 1.168 33.079 10
-20.361 -6.838 19.614 10
-11.415 -14.212 11.128 0
-11.415 -14.212 11.128 10
0.708 -20.954 4.041 0
0.708 -20.954 4.041 10
3.984 -20.629 0.421 0
3.984 -20.629 0.421 10
1.857 -19.384 -2.815 0
1.857 -19.384 -2.815 10
-4.386 -18.656 -5.037 0
-4.386 -18.656 -5.037 10
-11.377 -18.771 -3.083 10
-13.522 -15.131 -1.225 10
-16.396 -14.365 0.191 10
-19.901 -11.875 -2.604 0
-19.901 -11.875 -2.604 10
-17.296 -7.795 -3.696 10
-12.067 -1.34 -5.803 10
-4.482 1.34 -4.616 0
-4.482 1.34 -4.616 10
-1.857 0.114 -4.558 10
-8.849 -6.608 -7.623 10
-3.313 -7.642 -6.55 10
5.899 -3.428 -3.198 1
5.899 -3.428 -3.198 10
5.765 -1.628 -2.873 9
0.861 -2.26 -0.67 10
-3.179 -0.095 2.796 10
-6.454 1.321 1.494 10
-12.048 0.689 2.03 0
-12.048 0.689 2.03 10
-12.565 -0.114 9.174 1
-12.565 -0.114 9.174 10
-13.063 2.758 -5.286 9
-0.383 0.938 -3.945 10
-1.819 -13.465 -12.488 0
-1.819 -13.465 -12.488 10
3.83 -9.213 -8.887 10
2.183 -9.174 -1.053 10
-2.126 -5.133 2.164 10
-4.616 -2.03 1.877 0
-4.616 -2.03 1.877 10
-1.8 -3.083 3.083 10
-1.513 -2.643 10.573 0
-1.513 -2.643 10.573 10
-2.26 -1.723 3.964 10
-0.344 -4.903 -1.206 10
8.062 -1.321 2.164 0
8.062 -1.321 2.164 10
-13.752 -2.26 6.052 0
-13.752 -2.26 6.052 10
-6.876 -9.443 -3.581 10
-8.408 -6.569 -8.447 10
-14.844 -6.761 -11.013 10
-11.128 -4.482 -7.336 10
-13.867 -2.662 -7.987 10
-12.756 -3.102 -6.148 0
-12.756 -3.102 -6.148 10
-10.305 -1.915 -4.75 10
-9.634 -3.217 0.766 10
